Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
3-in-1 instant cereal (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Others,Packet (30g),Breakfast,,Meat,Cereal,20,12.06,2.82,1.41,1.68,0.08,79.2,75.9,58.63,13.71,6.86,79.20
4 in 1 brown rice cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),Breakfast,,Meat,Rice,11,24.99,2.49,1.5,1.11,#N/A,126,84,108.65,10.83,6.52,126.00
"6-inch Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (216g),Main,Subway,Meat,Sandwich,18,37,4.6,17.28,4,#N/A,263.52,1069.2,165.60,20.59,77.34,263.52
"6-inch Italian BMT Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (228g),Main,Subway,Meat,Sandwich,18,38.01,20,22.8,3.99,#N/A,426.36,1605.12,200.54,105.52,120.29,426.36
"6-inch Meatball Marinara Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (339g),Main,Subway,Meat,Sandwich,18,52.99,20,20.34,4.98,#N/A,471.21,1223.79,267.54,100.98,102.69,471.21
"6-inch Oven Roasted Chicken Breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),Main,Subway,Meat,Sandwich,18,40.94,5.29,23,5.06,#N/A,305.9,807.3,180.90,23.37,101.63,305.90
"6-inch Roast Beef Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Main,Subway,Meat,Sandwich,18,38.01,4.49,18.9,3.99,#N/A,270.9,648.9,167.70,19.81,83.39,270.90
"6-inch Spicy Italian Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (224g),Main,Subway,Meat,Sandwich,18,38.08,28,22.4,5,#N/A,497.28,1693.44,214.02,157.37,125.89,497.28
"6-inch Steak and Cheese Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (270g),Main,Subway,Meat,Sandwich,18,42.01,11.99,27,5,#N/A,394.2,1085.4,204.45,58.35,131.40,394.20
"6-inch Subway Club Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (243g),Main,Subway,Meat,Sandwich,18,38.98,5.2,24.3,4.01,#N/A,298.89,1057.05,170.13,22.70,106.06,298.89
"6-inch Subway Melt Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (240g),Main,Subway,Meat,Sandwich,18,39,10.99,24,4.01,#N/A,360,1404,189.76,53.47,116.77,360.00
"6-inch Sweet Onion Chicken Teriyaki Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (267g),Main,Subway,Meat,Sandwich,18,50.01,4.81,26.7,4.01,#N/A,355.11,881.1,217.85,20.95,116.31,355.11
"6-inch Tuna Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (236g),Main,Subway,Meat,Sandwich,18,35.99,30,21.24,3.99,#N/A,507.4,800.04,209.35,174.50,123.55,507.40
"6-inch Turkey Breast and Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (219g),Main,Subway,Meat,Sandwich,18,38,4.49,19.71,4.01,#N/A,271.56,1011.78,165.90,19.60,86.05,271.56
"6-inch Turkey breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Main,Subway,Meat,Sandwich,18,37,3.91,18.9,3.99,#N/A,260.4,787.5,161.09,17.02,82.29,260.40
"6-inch Veggie Delite Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (153g),Main,Subway,Meat,Sandwich,18,35.01,2.69,9.18,3.99,#N/A,205.02,284.58,153.11,11.76,40.15,205.02
Almond paste,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (262g),Side,,Drinks,Cold Drinks,2,23.06,11.27,5.5,1.57,0,214.84,30.65,124.38,60.79,29.67,214.84
Aloe vera drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (523g),Drink,,Drinks,Cold Drinks,2,43.93,0,0,0.52,#N/A,172.59,10.46,172.59,0.00,0.00,172.59
Aloe vera with jelly dessert,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (460.79g),Side,,SideDish,Dessert,24,30.57,0,0,0.22,#N/A,122.29,3.98,122.29,0.00,0.00,122.29
"Ang koo kueh, green bean fillling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (51g),BreakfastSide,,SideDish,Dessert,24,24.48,4.28,2.09,1.53,0,144.84,14.28,114.93,20.09,9.81,144.84
"Ang koo kueh, peanut filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (67.8g),BreakfastSide,,SideDish,Dessert,24,26.31,12.2,6.03,3.25,#N/A,239.33,35.93,141.37,65.56,32.40,239.33
"Apple Dippers with Caramel Sauce, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (89g),Side,McDonalds,Not Sure,Not Sure,29,7,0,0,1,#N/A,32.93,2,32.93,0.00,0.00,32.93
Apple juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Fruits/Juice,26,24.75,0,0,0,0,100,7.5,100.00,0.00,0.00,100.00
"Apple juice drink, with no added sugar",BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Fruits/Juice,26,21.25,0,0,0.5,0,85,10,85.00,0.00,0.00,85.00
"Apple pie, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Piece (85g),Side,McDonalds,SideDish,Snacks,27,26,13,1.7,2,0.03,232.05,190.4,148.24,74.12,9.69,232.05
"Apple, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fruit and fruit products,Packet (101g),Side,,Drinks,Fruits/Juice,26,77.27,0.51,0,9.9,#N/A,356.53,313.1,354.19,2.34,0.00,356.53
"Apple, green, raw, with peel, core and stalk",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (156g),Side,,Drinks,Fruits/Juice,26,15.36,0,0.43,3.3,#N/A,70.73,2.87,68.80,0.00,1.93,70.73
"Apple, red, raw, with peel, core and stalk",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (185g),Side,,Drinks,Fruits/Juice,26,21.79,0,0.51,3.74,#N/A,96.09,1.7,93.89,0.00,2.20,96.09
"Avocado juice, with added milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),Drink,,Drinks,Fruits/Juice,26,7.75,9.5,2.75,2.5,0.03,127.5,52.5,49.41,60.56,17.53,127.50
Ayam buah keluak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (662g),Side,,Meat,Chicken,4,21.45,53.62,60.18,3.57,#N/A,810.29,2889.63,128.51,321.24,360.54,810.29
Ayam panggang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (170.82g),Main,,Meat,Chicken,4,0.96,20.19,25.33,2.14,#N/A,286.81,139.54,5.92,124.58,156.30,286.81
Ayam penyet with rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (499g),Main,,Meat,Chicken,4,77.2,32.48,84.28,4.44,#N/A,935.63,1591.76,372.40,156.68,406.55,935.63
"BBQ Turkey Bacon Double Cheeseburger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (221g),Main,BurgerKing,Meat,Sandwich,18,38.87,35.05,35.36,2.87,0.22,623.22,1180.14,221.67,199.89,201.66,623.22
"BK Big Fish, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (189g),Main,BurgerKing,Meat,Sandwich,18,46.36,27.23,20.79,2.7,0.08,515.97,708.75,253.45,148.86,113.66,515.97
Bak kut teh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (458g),Main,,Meat,Pork,6,0,23.43,28.11,0,#N/A,323.71,1316.15,0.00,147.16,176.55,323.71
Baked Chicken Rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (444g),Main,,Meat,Chicken,4,77.26,34.9,42.62,2.66,580,794.76,1349.76,396.71,179.20,218.84,794.76
Baked Fish Rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (450g),Main,,Meat,Fish,3,72.45,33.71,34.2,6.75,720,729,1399.5,376.29,175.08,177.63,729.00
Baked otah bun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (67g),Breakfast,,SideDish,Dessert,24,28.14,5.49,7.1,1.34,#N/A,190.28,263.98,131.46,25.65,33.17,190.28
Ban mian soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (528g),Main,,Meat,Cereal,20,48.05,21.65,21.65,3.17,#N/A,475.2,2196.48,249.95,112.62,112.62,475.20
Banana (pisang mas),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (50g),Side,,Drinks,Fruits/Juice,26,8.82,0.12,0.54,1,#N/A,38.12,3.85,35.47,0.48,2.17,38.12
Banana (pisang nangka),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (122g),Side,,Drinks,Fruits/Juice,26,21.91,0.15,1.08,2,#N/A,93,16.91,88.06,0.60,4.34,93.00
Banana (pisang rajah udang / merah),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (185g),Side,,Drinks,Fruits/Juice,26,25.71,0.4,1.2,3.46,#N/A,110.56,2.66,104.08,1.62,4.86,110.56
Banana (pisang rastali),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (small) (43g),Side,,Drinks,Fruits/Juice,26,7.12,0.07,0.52,0.85,#N/A,31.05,9.8,28.67,0.28,2.09,31.05
Banana (pisang tanduk),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (352g),Side,,Drinks,Fruits/Juice,26,81.61,1.18,3.55,7.69,#N/A,348.9,53.22,329.79,4.77,14.35,348.90
Banana cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (90g),Breakfast,,SideDish,Dessert,24,32.58,15.66,5.04,1.17,0.02,291.6,128.7,178.31,85.71,27.58,291.60
"Banana, raw, unspecified type",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (118g),Side,,Drinks,Fruits/Juice,26,17.22,0.25,0.83,1.96,#N/A,67.21,0.76,63.24,0.92,3.05,67.21
Bandung,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,1 portion (250g),Drink,,Drinks,Cold Drinks,2,33,2.5,1,0,#N/A,157.5,17.5,142.40,10.79,4.32,157.50
Barley water,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (237g),Drink,,Drinks,Cold Drinks,2,13.98,0,0,0,#N/A,54.51,2.37,54.51,0.00,0.00,54.51
"Basil Crayfish Pasta, Pizzahut",FAST FOODS,All fast food outlets in alphabetical order,Whole (360g),Main,PizzaHut,Meat,Seafood,23,65.52,14.04,25.2,8.28,0,482.4,1710,301.71,64.65,116.04,482.40
Bee hoon soto,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (902.21g),Main,,Meat,Cereal,20,30.95,17.32,19.76,3.52,#N/A,358.72,1537.37,163.20,91.33,104.19,358.72
Bee hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (650g),Main,,Meat,Cereal,20,75.4,18.01,29.25,7.28,#N/A,580.45,856.05,356.81,85.23,138.42,580.45
Beef Don,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (385g),Main,Japanese,Meat,Cereal,20,78.54,11.28,27.72,5.78,540,527.45,908.6,352.44,50.62,124.39,527.45
"Beef Lasagne, Pizzahut",FAST FOODS,All fast food outlets in alphabetical order,Whole (262g),Main,PizzaHut,Meat,Beef,5,79.91,40.61,58.43,13.62,1830,917,2360.62,409.49,208.10,299.41,917.00
Beef and Teriyaki Chicken Bento,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,1 portion (489g),Main,Japanese,Meat,Beef,5,95.36,20.88,43.03,10.76,440,743.28,1515.9,445.03,97.44,200.81,743.28
Beef and egg porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (403g),Main,,Meat,Beef,5,10.36,19.95,16.12,1.57,#N/A,285.32,1354.08,63.66,122.60,99.06,285.32
Beef ball kway teow soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),Main,,Meat,Beef,5,86.35,14.3,38.5,5.5,0.28,627,1496,389.09,64.43,173.48,627.00
Beef ball soup,OTHER MIXED ETHNIC DISHES,Meat based dishes,Bowl-soup (16 and 1/2 cm) (592g),Side,,Meat,Beef,5,5.56,9.06,19.24,1.48,#N/A,180.74,2524.88,29.68,48.36,102.70,180.74
Beef hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (481g),Main,,Meat,Beef,5,94.76,26.46,19.72,6.25,#N/A,697.45,1717.17,468.93,130.94,97.59,697.45
Beef noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (789g),Main,,Meat,Beef,5,59.91,5.98,29.14,5.33,#N/A,412.15,3978.37,259.83,25.94,126.38,412.15
Beef pho,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (790g),Main,,Meat,Beef,5,56.09,4.98,22.12,3.95,80,355.5,2204.1,239.69,21.28,94.53,355.50
Beef porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (370g),Main,,Meat,Beef,5,21.9,8.73,12.95,1.04,#N/A,217.93,878.01,109.52,43.66,64.76,217.93
"Beef udon, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (632g),Main,,Meat,Beef,5,54.6,15.8,24.52,3.35,#N/A,458.83,2051.47,263.93,76.37,118.53,458.83
Beehoon goreng,OTHER MIXED ETHNIC DISHES,Cereal based dishes,Plate-23cm (170g),Main,,Meat,Noodles,12,40.63,11.39,7.31,2.94,#N/A,294.17,722.5,201.45,56.47,36.24,294.17
"Beehoon, with cuttlefish and kangkong","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (356g),Main,,Meat,Seafood,23,61.23,9.97,11.39,11.39,#N/A,382.04,1359.92,283.23,46.12,52.69,382.04
Bibimbap,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-rice (11and 1/2 cm) (498g),Main,,Meat,Cereal,20,62.8,10.41,37.2,4.53,#N/A,499.1,802.88,283.88,47.06,168.16,499.10
"Big Breakfast, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Whole (252g),Breakfast,McDonalds,Meat,Sandwich,18,42.01,31,30.24,4.99,#N/A,561.96,1101.24,228.65,168.72,164.59,561.96
Birdnest drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (93g),Drink,,Drinks,Cold Drinks,2,9.02,0,0.84,0,#N/A,39.06,4.65,35.73,0.00,3.33,39.06
"Biscuit, Popeyes",FAST FOODS,All fast food outlets in alphabetical order,1 portion (60g),Side,Popeyes,SideDish,Snacks,27,26,13,4,1,0.07,240,490,145.12,72.56,22.33,240.00
Black carrot cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (350g),Side,,SideDish,Dessert,24,65.77,26.74,13.16,1.54,#N/A,556.47,1937.08,346.35,140.82,69.30,556.47
"Black chicken herbal soup, soup only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (374g),Side,,Meat,Chicken,4,6.36,0.75,3.74,0,#N/A,48.62,691.9,28.50,3.36,16.76,48.62
Black pepper crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (266g),Side,,Meat,Seafood,23,0,8.17,24.76,0,#N/A,172.05,1165.24,0.00,42.69,129.36,172.05
Black tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),Drink,,Drinks,Hot Drinks,1,0.25,0,0.25,0,#N/A,2.5,2.5,1.25,0.00,1.25,2.50
"Blueberries, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (1.36g),Side,,Drinks,Fruits/Juice,26,0.16,0,0.01,0.03,#N/A,0.74,0.01,0.70,0.00,0.04,0.74
Bo Luo Bao (Pineapple Bun),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (77g),Breakfast,,Meat,Cereal,20,38.42,15.87,6.47,1,360,322.63,226.38,204.01,84.27,34.36,322.63
Braised beef tendon noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (444g),Main,,Meat,Beef,5,69.26,5.33,33.74,12.43,#N/A,461.76,2264.4,295.22,22.72,143.82,461.76
Braised chicken rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),Main,,Meat,Chicken,4,59.08,23.88,24.43,2.16,#N/A,548.88,835.67,301.96,122.05,124.86,548.88
"Braised chicken rice, skinless chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (291g),Main,,Meat,Chicken,4,68.91,14.78,23.66,1.69,#N/A,503.14,1009.19,322.98,69.27,110.89,503.14
Braised chicken with sea cucumber,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (89.81g),Side,,Meat,Chicken,4,1.84,9.18,10.67,1.01,#N/A,132.65,279.49,11.25,56.14,65.25,132.65
Braised duck rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (417g),Main,,Meat,Duck,7,71.76,28.9,22.77,0.65,#N/A,643.65,1445.6,374.21,150.70,118.74,643.65
Braised duck with yam rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (350g),Main,,Meat,Duck,7,95.55,9.8,21,3.5,0,556.5,1081.5,420.84,43.16,92.49,556.50
"Bread, chocolate chip",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),Breakfast,,Meat,Bread,10,20.9,2.55,3,1.48,#N/A,118.94,136.8,93.98,11.47,13.49,118.94
"Bread, coconut",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (45g),Breakfast,,Meat,Bread,10,21.78,13.5,6.17,2.59,#N/A,233.07,34.2,122.47,75.91,34.69,233.07
"Bread, garlic",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (70g),Breakfast,,Meat,Bread,10,28.21,8.54,6.02,2.31,0,218.4,447.3,144.05,43.61,30.74,218.40
"Bread, raisin",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (33g),Breakfast,,Meat,Bread,10,16.2,1.25,2.67,0.89,#N/A,88.42,61.05,71.19,5.49,11.73,88.42
"Bread, white, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),Breakfast,,Meat,Bread,10,12.81,0.74,2.09,0.78,0,68.34,130.41,55.97,3.23,9.13,68.34
"Bread, wholemeal, fibre increased",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),Breakfast,,Meat,Bread,10,11.4,1.02,3.48,2.19,0,73.57,135,52.75,4.72,16.10,73.57
"Bread, with banana and walnut",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),Breakfast,,Meat,Bread,10,21.96,2.48,4.72,1.16,#N/A,124.8,63.2,93.99,10.61,20.20,124.80
"Breakfast cereal, flavoured, contains whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,19.38,1.67,1.92,1.35,0,100.2,59.1,84.54,7.28,8.38,100.20
"Breakfast cereal, flavoured, not whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,20.52,0.69,1.86,0.54,0,95.7,143.4,85.12,2.86,7.72,95.70
"Breakfast cereal, mixed, contains whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,17.55,1.79,2.61,1.98,0,96.6,95.4,77.24,7.88,11.49,96.60
"Breakfast cereal, mixed, not whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,22.26,1.59,2.22,0.93,0,112.2,129.3,95.80,6.84,9.55,112.20
"Breakfast cereal, plain, contains whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,19.47,0.93,2.25,1.74,0,95.4,171,82.01,3.92,9.48,95.40
"Breakfast cereal, plain, not whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),Breakfast,,Meat,Cereal,20,20.46,0.3,2.07,0.66,0,92.7,230.7,83.08,1.22,8.41,92.70
Brewed coffee,BEVERAGES,Non-alcoholic beverages,1 portion (155g),Drink,,Drinks,Hot Drinks,1,0.62,0,0.16,0,#N/A,3.7,3.1,2.94,0.00,0.76,3.70
"Brown rice bee hoon, fried, plain",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (299g),Main,,Meat,Rice,11,86.71,8.97,6.28,5.08,#N/A,451.49,1118.26,383.96,39.72,27.81,451.49
Bubor cha cha (2018),"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (358g),Side,,SideDish,Dessert,24,32.58,23.7,3.58,2.15,140,358,64.08,194.85,141.74,21.41,358.00
Bubur terigu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (400g),Side,,SideDish,Dessert,24,72.4,3.2,4.4,4.8,#N/A,336,40,304.08,13.44,18.48,336.00
"Bun, chicken curry",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (78.5g),Breakfast,,Meat,Cereal,20,31.79,6.75,6.36,1.73,0,214.31,293.59,151.74,32.22,30.36,214.31
"Bun, cinnamon",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (79g),Breakfast,,Meat,Cereal,20,45.5,8.69,5.45,1.42,0,282.03,443.98,215.16,41.09,25.77,282.03
"Bun, coconut",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (69g),Breakfast,,Meat,Cereal,20,26.5,11.45,5.04,4,0,229.08,160.08,141.21,61.01,26.86,229.08
"Bun, custard",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (63g),Breakfast,,Meat,Cereal,20,24.7,5.42,5.86,1.45,0,178.29,100.17,122.39,26.86,29.04,178.29
"Bun, dried shrimp",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (80g),Breakfast,,Meat,Cereal,20,29.28,12.8,10.72,2.48,0,275.2,524,152.61,66.72,55.87,275.20
"Bun, fruit, glazed",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (80g),Breakfast,,Meat,Cereal,20,37.92,3.2,5.52,2.72,0,207.66,225.6,168.84,14.25,24.58,207.66
"Bun, fruit, iced",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (75g),Breakfast,,Meat,Cereal,20,35.03,6,7.35,2.48,#N/A,222.45,150,161.07,27.59,33.80,222.45
"Bun, melon",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (61g),Breakfast,,Meat,Cereal,20,26.41,5.8,5.06,0.92,0,186.05,111.02,131.84,28.95,25.26,186.05
"Bun, pork floss",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (78g),Breakfast,,Meat,Cereal,20,31.36,19.11,9.98,1.33,0,336.96,1150.5,174.81,106.52,55.63,336.96
"Bun, sausage",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (70g),Breakfast,,Meat,Cereal,20,23.73,8.05,7.84,0.98,0,198.8,367.5,119.07,40.39,39.34,198.80
"Bun, steamed",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (50.44g),Breakfast,,Meat,Cereal,20,21.79,0.61,3.13,0.5,#N/A,104.92,83.23,89.55,2.51,12.86,104.92
"Bun, sugared",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (55g),Breakfast,,Meat,Cereal,20,29.7,4.07,5.17,1.54,0,177.1,149.6,135.08,18.51,23.51,177.10
"Bun, susi",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (71.2g),Breakfast,,Meat,Cereal,20,28.05,7.76,8.69,0.85,0,217.16,270.56,136.88,37.87,42.41,217.16
"Bun, sweet, with dried fruit",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (80g),Breakfast,,Meat,Cereal,20,37.92,3.2,5.52,2.72,#N/A,207.2,225.6,168.46,14.22,24.52,207.20
"Bun, tuna","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (79g),Breakfast,,SideDish,Dessert,24,26.43,10.51,9.68,1.58,0.07,238.69,333.25,135.32,53.81,49.56,238.69
"Bun, with sugar coated topping",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (20g),Breakfast,,Meat,Cereal,20,9.24,2.04,1.54,0.32,0,61.4,56.8,44.25,9.77,7.38,61.40
"Burger, Big Mac, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Whole (204g),Main,McDonalds,Meat,Sandwich,18,49,26.01,24.48,5,1.65,522.24,969,257.21,136.53,128.50,522.24
"Burger, double whopper with cheese, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Piece (375g),Main,BurgerKing,Meat,Sandwich,18,44.7,63.98,52.5,6,#N/A,997.5,1451.25,276.64,395.96,324.91,997.50
Butter roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (28g),Breakfast,,Meat,Bread,10,14.84,2.24,2.32,0.81,#N/A,88.76,143.64,67.90,10.25,10.61,88.76
