Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Sugars (g),Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
Fried bee hoon with chicken and egg,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (284g),Main,,Meat,Noodles,12,46.41,10.93,21.3,4.91,#N/A,1.45,369.2,346.76,217.8862157,51.31429298,99.99949135,369.2
Fried egg with oysters,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (222.63g),Side,,Meat,Seafood,23,7.95,46.84,20.53,1.65,#N/A,0,535.45,658.78,56.51656267,332.9856346,145.9478027,535.45
Fried fish porridge,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (865g),Main,,Meat,Fish,3,64.88,19.98,38.93,4.33,170,8.65,596.85,2958.3,312.8170935,96.33300751,187.699899,596.85
Fried hong kong egg noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (408g),Main,,Meat,Noodles,12,62.83,37.13,26.93,8.16,#N/A,0.82,693.6,1562.64,343.4383167,202.9582158,147.2034676,693.6
Fried rice with egg,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (250g),Main,,Meat,Rice,11,60,15.5,12.5,0.75,#N/A,0.25,430,1202.5,293.1818182,75.73863636,61.07954545,430
Fried rice with ham and vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (250g),Main,,Meat,Rice,11,63.45,11.18,10.33,3.1,0,0.28,395.75,453.25,295.5548199,52.07727166,48.11790843,395.75
"Froot loops, kelloggs",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (28g),Breakfast,,Meat,Cereal,20,24.08,1.2,1.6,0.22,#N/A,-1,108.88,139.16,97.53833333,4.860714286,6.480952381,108.88
Fruit punch,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Fruits/Juice,26,30.5,0.5,0.25,0.25,#N/A,30.5,125,12.5,122,2,1,125
Full cream milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),Drink,,Drinks,Milk,16,11.78,8.7,8.19,0,0,11.78,166.43,171.52,68.38316707,50.50369724,47.54313568,166.43
"Garlic bread, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Whole (70g),Main,PizzaHut,Meat,Bread,10,28.21,8.54,6.02,2.31,#N/A,2.45,218.4,447.3,144.0510638,43.60851064,30.74042553,218.4
Ginger ale,BEVERAGES,Non-alcoholic beverages,Can (330g),Drink,,Drinks,Cold Drinks,2,28.71,0,0,0,#N/A,28.71,111.21,23.1,111.21,0,0,111.21
Golden kiwi,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Piece (83g),Side,,Drinks,Fruits/Juice,26,9.28,0.07,0.95,1.46,#N/A,6.87,41.63,4.38,37.50741748,0.28292233,3.839660194,41.63
"Granola, quaker, oat and honey",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Half Cup (48g),Breakfast,,Meat,Cereal,20,31,9,5,3,#N/A,13,220,20,151.5555556,44,24.44444444,220
Grass jelly drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (231g),Drink,,Drinks,Cold Drinks,2,13.86,0,0,1.16,0,12.24,55.44,53.13,55.44,0,0,55.44
Green bean soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (429.45g),Side,,SideDish,Dessert,24,40.37,1.72,14.6,10.74,#N/A,14.6,236.2,4.29,168.202399,7.16641383,60.83118716,236.2
Green tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),Drink,,Drinks,Cold Drinks,2,0.5,0,0.5,0,#N/A,-1,5,7.5,2.5,0,2.5,5
Green tea drink,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Cold Drinks,2,8.75,0,0,0,#N/A,8.25,35,7.5,35,0,0,35
Green tea frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Cold Drinks,2,34.7,8.8,8.3,0,#N/A,13.3,244.55,122.4,163.8201737,41.54517375,39.18465251,244.55
Green tea frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Cold Drinks,2,34.55,11.45,8.45,0,0.15,13.55,268.25,124.4,170.2118916,56.40886134,41.62924702,268.25
Green tea mochi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Stick (48g),Drink,,Drinks,Cold Drinks,2,24.58,0.24,1.78,0.38,#N/A,12.14,107.52,70.56,99.35494737,0.970105263,7.194947368,107.52
Green wanton noodles dry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (367g),Main,,Meat,Noodles,12,46.61,24.59,18.72,5.14,#N/A,5.51,480.77,1768.94,249.2069584,131.4739135,100.0891281,480.77
Grilled salmon with potato & broccolli,FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (490g),Main,,Meat,Fish,3,31.02,12.15,44,#N/A,#N/A,0.98,416.01,666.99,148.0398096,57.98464495,209.9855455,416.01
Guava juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (291g),Drink,,Drinks,Fruits/Juice,26,12.51,0.29,2.62,1.16,#N/A,11.06,64.02,64.02,51.93840467,1.204007782,10.87758755,64.02
Guava nectar juice,BEVERAGES,Non-alcoholic beverages,Mug (214g),Drink,,Drinks,Fruits/Juice,26,28.46,0.21,0.21,1.71,#N/A,28.46,111.28,6.42,109.661662,0.809168975,0.809168975,111.28
"Ham Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (344g),Main,Subway,Meat,Pork,6,13,2.99,10.32,3.99,#N/A,6.98,113.52,860,56.09122007,12.90098062,44.52779932,113.52
"Hamburger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (123g),Main,BurgerKing,Meat,Pork,6,30.89,14.97,17.22,2.46,0.1,5.97,338.25,559.65,165.639545,80.27270926,92.33774572,338.25
"Hamburger, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (104g),Main,McDonalds,Meat,Pork,6,35.02,8.49,12.48,3.18,0.54,5.1,264.16,509.6,165.2238471,40.05569566,58.88045722,264.16
"Hash Brown, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (71g),Side,BurgerKing,SideDish,Snacks,27,20.95,15.37,2.13,1.92,#N/A,0.17,232.17,448.72,126.5009493,92.80761769,12.86143303,232.17
Hashima dessert,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (175g),Side,,SideDish,Dessert,24,15.63,0.21,0.44,0.93,#N/A,15.63,66.15,18.9,63.50887592,0.853286241,1.787837838,66.15
Herbal duck soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (433g),Side,,SideDish,Soup,21,0.41,7.73,27.27,2.04,#N/A,0,179.09,789.62,2.073620446,39.09533183,137.9210477,179.09
Herbal jelly with sugar syrup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-20cm (237g),Side,,SideDish,Dessert,24,17.4,0,0.31,0,#N/A,15.59,70.86,20.15,69.61964992,0,1.240350085,70.86
Herbal tonic chicken soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-dessert (15 cm) (420g),Side,,SideDish,Soup,21,6.21,8.77,20.46,0.37,#N/A,-1,186.89,909.85,32.74793736,46.24789221,107.8941704,186.89
Hokkien mee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (442g),Main,,Meat,Noodles,12,69.39,19.01,18.12,4.42,#N/A,17.24,521.56,1423.24,339.7582463,93.07975591,88.72199775,521.56
Honey dew,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (200g),Side,,Drinks,Fruits/Juice,26,18.18,0.28,1.08,1.6,#N/A,16.24,72,36,66.98874104,1.031729785,3.979529171,72
"Honey smacks, kelloggs",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,1 portion (25g),Breakfast,,Meat,Cereal,20,21.9,0.5,1.63,0.88,#N/A,13.63,95,47,86.57927591,1.976695797,6.444028298,95
Honeydew juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (277g),Drink,,Drinks,Fruits/Juice,26,22.99,0.28,2.49,0.55,#N/A,18.56,105.26,130.19,93.94128106,1.144130435,10.17458851,105.26
Honeydew milkshake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (350g),Drink,,Drinks,Fruits/Juice,26,10.5,4.2,3.15,0.7,#N/A,10.5,91,45.5,53.52941176,21.41176471,16.05882353,91
"Hong Kong wanton noodles, dry","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (335g),Main,,Meat,Noodles,12,46.9,23.12,26.8,2.01,#N/A,6.7,502.5,1541,243.4130345,119.9938029,139.0931626,502.5
Horlick dinosaur,BEVERAGES,Non-alcoholic beverages,Mug (450g),Drink,,Drinks,Cold Drinks,2,78.62,8.78,13.86,0.09,0.05,58.91,449.42,168.21,348.9373929,38.96807821,61.51452894,449.42
Hot and spicy beef noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (279g),Main,,Meat,Noodles,12,8.54,4.32,19.36,4.99,#N/A,0.39,150.38,967.29,39.85863439,20.16268156,90.35868405,150.38
Hot chocolate,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Hot Drinks,1,34.65,19.95,19.95,5.4,#N/A,30.1,422.75,250.5,196.4894366,113.1302817,113.1302817,422.75
Hot chocolate with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Hot Drinks,1,34.3,25.3,21,5.4,0.3,30,467,250,198.735732,146.58933,121.674938,467
"Hotcakes with butter and honey, McDonalds",FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (222g),Main,McDonalds,SideDish,Dessert,24,58.01,7.99,8.88,2,#N/A,-1,344.1,539.46,266.5764022,36.71686699,40.80673077,344.1
Hotplate venison,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-23cm (304g),Main,,Not Sure,Not Sure,29,7.9,27.36,31.92,4.86,#N/A,0.61,404.32,1489.6,47.54581721,164.6650074,192.1091753,404.32
"Ice jackfruit, with selashi","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (331g),Side,,SideDish,Dessert,24,29.93,7.65,1.66,3.48,#N/A,29.92,195.29,49.65,148.9559047,38.07259174,8.261503568,195.29
"Ice kacang, less sweet","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (400g),Side,,SideDish,Dessert,24,35.6,1.2,4.8,10.4,#N/A,28.4,172,108,147.1923077,4.961538462,19.84615385,172
Ice sea coconut,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (250g),Side,,SideDish,Dessert,24,34.23,0,0.48,0.98,#N/A,22.65,138.23,12.85,136.3184356,0,1.911564391,138.23
Ice sweetcorn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (292g),Side,,SideDish,Dessert,24,21.99,7.12,3.1,6.77,#N/A,15.04,164.4,192.72,112.2370692,36.34051537,15.8224154,164.4
Ice teh o limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Cold Drinks,2,17.85,0.4,0.53,1.5,#N/A,16.45,76.88,2,73.07284345,1.637486688,2.169669862,76.88
Ice teh o longan,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Cold Drinks,2,18.6,0.03,0.2,0.35,#N/A,18.33,74.35,2,73.44184811,0.118454594,0.789697292,74.35
Ice teh o lychee,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Cold Drinks,2,18.6,0.3,0.2,0.35,#N/A,18.33,74.2,2,72.25759162,1.165445026,0.776963351,74.2
Iced lemon tea,BEVERAGES,Non-alcoholic beverages,Cup (259g),Drink,,Drinks,Cold Drinks,2,22.02,0,0.26,0,#N/A,22.02,87.28,7.77,86.26147217,0,1.018527828,87.28
Indian style bee hoon goreng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (281.46g),Main,,Meat,Noodles,12,56.57,23.64,14.92,5.07,#N/A,1.13,501,1148.36,297.9246295,124.499527,78.57584358,501
Ipoh hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (449g),Main,,Meat,Noodles,12,66,13.92,15.72,6.74,#N/A,0,453.49,1638.85,312.9479297,66.00356336,74.5385069,453.49
Isotonic drink (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Beverages and sweetened drinks,Can (330g),Drink,,Drinks,Cold Drinks,2,20.79,0,0,0,0,20.79,82.5,122.1,82.5,0,0,82.5
Jackfruit,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Seed (23.4g),Side,,Drinks,Fruits/Juice,26,3.86,0.06,0.37,0.45,#N/A,-1,17.52,3.74,15.76391608,0.245034965,1.511048951,17.52
Japanese shio ramen,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (676g),Main,Japanese,Meat,Noodles,12,59.49,25.49,39.21,2.03,270,6.76,621.92,3136.64,297.9146534,127.6490925,196.3562541,621.92
Japanese shoyu ramen,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (659g),Main,Japanese,Meat,Noodles,12,61.29,27.88,33.61,1.32,70,6.59,632.64,3123.66,315.8047369,143.6553445,173.1799186,632.64
Grape juice (no added sugar),FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (253g),Drink,,Drinks,Fruits/Juice,26,29.6,0.25,0.76,0,#N/A,29.6,118.52,17.71,114.6093434,0.967984319,2.942672329,118.52
Grapefruit juice (no added sugar),FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (259g),Drink,,Drinks,Fruits/Juice,26,16.06,0.26,1.3,0.26,#N/A,16.06,77.38,12.95,70.52910329,1.141816118,5.70908059,77.38
Lemon juice,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (244g),Drink,,Drinks,Fruits/Juice,26,11.22,0.49,1.71,0.24,#N/A,11.22,54.29,7.32,45.39,1.982272727,6.917727273,54.29
Orange and Mango juice,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),Drink,,Drinks,Fruits/Juice,26,20.8,0.26,1.56,0.78,#N/A,19.5,94.54,7.8,86.93333333,1.086666667,6.52,94.54
Processed Orange Juice,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Glass (250ml) (262g),Drink,,Drinks,Fruits/Juice,26,22.01,0,1.57,0.26,#N/A,22.01,94.32,7.86,88.04,0,6.28,94.32
Processed Orange Juice (no added sugar),FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Glass (250ml) (260g),Drink,,Drinks,Fruits/Juice,26,19.24,0.26,1.56,0.26,#N/A,19.24,88.4,15.6,80.76049383,1.091358025,6.548148148,88.4
Fresh pineapple juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (225g),Drink,,Drinks,Fruits/Juice,26,17.1,0.02,0.45,0.45,#N/A,15.98,69.75,11.25,67.88417758,0.079396699,1.786425726,69.75
Prune juice,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (256g),Drink,,Drinks,Fruits/Juice,26,44.67,0.08,1.54,2.56,#N/A,-1,181.11,10.24,174.7717369,0.313000648,6.025262476,181.11
KFC cheese fries,FAST FOODS,All fast food outlets in alphabetical order,Plate-16cm (186g),Side,KFC,Meat,Cheese,15,44.7,41.5,5.58,2.98,0,1.34,571.02,658.44,278.1062759,258.1971018,34.71662236,571.02
"KFC popcorn chicken, regular",FAST FOODS,All fast food outlets in alphabetical order,Packet (150g),Side,KFC,SideDish,Snacks,27,27.2,28.2,21,3,0,0.27,445.5,1168.5,158.6073298,164.4384817,122.4541885,445.5
Kaya Butter Steamed Bread,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (150g),Breakfast,,Drinks,Cold Drinks,2,60.9,17.27,8.85,1.35,650,23.85,435,520.5,304.4300161,86.33015399,44.23982992,435
Kaya bun,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (60g),Breakfast,,Meat,Bread,10,33.36,4.32,4.32,0.9,0.03,11.04,189.6,100.8,150.5965714,19.50171429,19.50171429,189.6
Kopi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),Drink,,Drinks,Hot Drinks,1,17.54,4,3.01,0,#N/A,17.54,134.75,38.72,96.27352342,21.95519348,16.5212831,134.75
Kopi C,BEVERAGES,Non-alcoholic beverages,Cup (194g),Drink,,Drinks,Hot Drinks,1,14.16,2.33,2.52,0.78,0.02,14.16,87.3,48.5,65.02724882,10.70010521,11.57264598,87.3
Kopi C siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),Drink,,Drinks,Hot Drinks,1,11.06,2.33,2.52,0.78,#N/A,11.06,75.66,48.5,52.59582652,11.08031427,11.98385921,75.66
Kopi O,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (250g),Drink,,Drinks,Hot Drinks,1,15.5,2.25,0.5,0,#N/A,15.5,85,22.5,72.19178082,10.47945205,2.328767123,85
Kopi O siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),Drink,,Drinks,Hot Drinks,1,9.12,1.75,0.39,0,#N/A,9.12,54.32,17.46,43.99630551,8.442273535,1.881420959,54.32
Kopi siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),Drink,,Drinks,Hot Drinks,1,13.19,5.04,1.75,0,#N/A,13.19,104.76,36.86,69.15837838,26.42594595,9.175675676,104.76
Korean bulgogi beef with rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-rice (11and 1/2 cm) (450g),Main,,Meat,Beef,5,72.09,17.51,34.11,3.2,#N/A,8.19,583.16,785.12,339.8270504,82.54087463,160.792075,583.16
Korean bulgogi pork with rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-20cm (412g),Main,,Meat,Pork,6,75.77,25.01,32.75,2.93,0.12,12.48,658.99,976.73,373.9359867,123.427993,161.6260204,658.99
Korean hot and spicy soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (462g),Main,,SideDish,Soup,21,9.85,12.71,16.77,8.73,#N/A,9.84,220.84,2363.59,55.30826341,71.36731248,94.1644241,220.84
Korean spicy rice cake (2017),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (341g),Side,,SideDish,Dessert,24,95.48,3.44,10.91,6.48,30,13.64,456.94,1299.21,397.237833,14.31187836,45.39028863,456.94
"Kway teow soup, with beef balls","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),Main,,Meat,Beef,5,62.15,4.4,18.15,2.2,#N/A,-1,364.13,1930.5,267.1862987,18.91584416,78.02785714,364.13
"Kway teow, bandung, style",OTHER MIXED ETHNIC DISHES,Cereal based dishes,Bowl-rice (11and 1/2 cm) (450g),Main,,Meat,Noodles,12,57.6,27,17.1,4.14,#N/A,10.04,542.07,1143,307.0130973,143.9123894,91.14451327,542.07
Laksa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (650g),Main,,Meat,Cereal,20,57.85,39.65,27.3,3.9,#N/A,-1,695.5,7904,322.3932292,220.9661458,152.140625,695.5
Laksa yong tauhu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (602g),Main,,Meat,Noodles,12,50.57,37.32,23.48,3.61,#N/A,3.01,632.1,2215.36,287.0189189,211.8162162,133.2648649,632.1
Lor mee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (640g),Main,,Meat,Noodles,12,84.48,17.28,25.6,4.48,#N/A,14.08,595.2,3315.2,394.8060302,80.75577889,119.638191,595.2
Low fat chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (266g),Drink,,Drinks,Milk,16,30.86,3.72,11.7,0.8,0,27.93,204.82,66.5,136.5761711,16.46349179,51.78033708,204.82
Low fat milk fortified with protein,MILK AND MILK PRODUCTS,Milks,Cup (260g),Drink,,Drinks,Milk,16,14.56,4.68,10.66,0,0,0,139.82,150.8,68.08626087,21.88486957,49.84886957,139.82
"Low fat milk, concentrated calcium",MILK AND MILK PRODUCTS,Milks,Packet (125g),Drink,,Drinks,Milk,16,11.38,1.88,4,0,#N/A,11,77.5,53.75,51.09791425,8.441483198,17.96060255,77.5
Low-fat natural yoghurt,HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Dairy products,Cup (150g),Drink,,Drinks,Dairy,19,11.55,1.65,6.75,0.3,0.09,11.55,88.5,99,51.23684211,7.319548872,29.94360902,88.5
Luo han guo drink,BEVERAGES,Non-alcoholic beverages,Bottle (500g),Drink,,Drinks,Cold Drinks,2,13,0,0,0,0,13,50,8.4,50,0,0,50
Macaroni soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (487.47g),Main,,SideDish,Soup,21,48.21,7.02,38.71,9.94,#N/A,2.97,410.84,583.99,210.843053,30.70147754,169.2954694,410.84
Mandarin orange,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (120g),Side,,Drinks,Fruits/Juice,26,7.97,0.26,0.96,1.58,#N/A,0.79,38.54,2.63,33.42369967,1.090359086,4.02594124,38.54
Mango juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (366g),Drink,,Drinks,Fruits/Juice,26,32.21,0.73,0.73,2.93,#N/A,23.79,139.08,10.98,133.049207,3.015396495,3.015396495,139.08
Honey Mango,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (323g),Side,,Drinks,Fruits/Juice,26,30.3,0.38,1.72,4.95,0,16.2,131.49,1.91,122.9675,1.542166667,6.980333333,131.49
Mango,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (big) (232g),Side,,Drinks,Fruits/Juice,26,20.94,0.74,3.12,2.23,#N/A,18.71,102.45,10.39,86.50415323,3.056975806,12.88887097,102.45
Mangosteen,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (small) (69.2g),Side,,Drinks,Fruits/Juice,26,0.93,0.17,0.1,#N/A,#N/A,-1,5.65,1.16,4.37875,0.800416667,0.470833333,5.65
"McChicken, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (177g),Main,McDonalds,Meat,Chicken,4,44,18,14.16,2.99,0.62,-1,394.71,769.95,228.0362395,93.28755252,73.38620798,394.71
"McSpicy, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (205g),Main,McDonalds,Meat,Chicken,4,65.01,25.99,22.55,2.99,0.39,-1,584.25,1320.2,334.4966314,133.7266182,116.0267503,584.25
"McWings (2pc), McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Piece (36g),Side,McDonalds,Meat,Chicken,4,6.08,12.92,12.04,0.38,#N/A,0,188.78,418.06,36.97752577,78.57724227,73.22523196,188.78
Mee goreng,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (390g),Main,,Meat,Noodles,12,59.67,21.37,17.16,4.68,120,11.31,499.2,2301,303.3326273,108.6344603,87.23291242,499.2
"Mee goreng, mamak style",OTHER MIXED ETHNIC DISHES,Cereal based dishes,Plate-23cm (170g),Main,,Meat,Noodles,12,40.63,9.01,9.35,2.11,#N/A,3.4,281.57,1111.8,193.9343804,43.00636888,44.62925072,281.57
Mee rebus,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (571g),Main,,Meat,Noodles,12,78,18.16,21.01,11.25,#N/A,14.22,559.24,2268.87,372.2857387,86.67575659,100.2785047,559.24
"Mee rebus, without gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (463g),Main,,Meat,Noodles,12,55.33,19.86,18.52,10.97,#N/A,15.6,474.11,1895.99,279.9328385,100.4783332,93.6988283,474.11
"Mee siam, without gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (368g),Main,,Meat,Noodles,12,81.7,19.87,15.46,11.78,#N/A,0,563.04,1008.32,393.0647526,95.59604204,74.37920533,563.04
Mee soto,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (541g),Main,,Meat,Noodles,12,60.05,12.98,19.48,3.79,#N/A,-1,432.8,2677.95,280.9387093,60.72580262,91.13548806,432.8
"Mee, bandung style",OTHER MIXED ETHNIC DISHES,Cereal based dishes,Bowl-rice (11and 1/2 cm) (450g),Main,,Meat,Noodles,12,56.3,15.71,19.4,4.14,#N/A,9.81,444.11,1924.34,273.5301718,76.32609233,94.25373592,444.11
"Milk tea no toppings, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (460g),Drink,,Drinks,Cold Drinks,2,6.9,13.66,1.38,6.44,90,6.9,156.4,33.17,49.18687329,97.37575205,9.837374658,156.4
Milk tea with pearls,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,1 portion (424g),Drink,,Drinks,Cold Drinks,2,52.58,13.57,0.42,1.7,1.31,27.98,334.96,33.92,264.5665735,68.28011417,2.113312303,334.96
"Milk tea with pearls, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (478g),Drink,,Drinks,Cold Drinks,2,43.98,10.32,0.48,4.3,100,17.69,272.46,33.94,218.7438992,51.32871851,2.387382256,272.46
"Milk, flavoured, low fat",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Dairy products,Cup (200g),Drink,,Drinks,Milk,16,14,1.8,7.2,0.6,0.06,14,100,82,60.86956522,7.826086957,31.30434783,100
